EC,TT,%Match,MatchLen,NumMisMat,GapOpen,QueryStart,QueryEnd,DB_SeqStart,DB_SeqEnd,E-Val,BitScore
P0AB74,Q5SHF7,49.54,109,55,0,75,183,73,181,7.00E-32,130
P0AB74,Q5SHF7,36.49,74,47,0,210,283,231,304,8.00E-14,70.6
P0AB74,Q5SHF7,54.17,48,22,0,9,56,8,55,2.00E-10,59.6
P0AB74,Q5SHF7,64.71,34,12,0,187,220,187,220,2.00E-07,49.4
P0A796,P21777,49.54,109,55,0,115,223,115,223,2.00E-34,139
P0A796,P21777,54.39,114,52,0,2,115,1,114,5.00E-33,134
P0A796,P21777,50,64,32,0,242,305,244,307,9.00E-14,70.6
P77366,Q5SHA7,44.74,38,21,0,3,40,2,39,1.00E-07,49.5
P77366,Q5SHA7,31.15,61,42,0,140,200,130,190,1.00E-05,43
P77366,Q5SI65,32.84,67,45,0,122,188,130,196,2.00E-07,49
P77366,Q5SHW8,35.71,42,27,0,146,187,149,190,4.00E-05,41.2
P37095,Q5SLN7,47.43,175,92,0,192,366,293,467,1.00E-48,186
P36938,Q5SLE0,56.04,182,80,0,17,198,1,182,1.00E-67,250
P36938,Q5SLE0,54.27,199,91,0,345,543,325,523,3.00E-67,249
P36938,Q5SLE0,56.16,146,64,0,198,343,180,325,2.00E-50,193
P36938,Q5SKJ3,35.29,51,33,0,347,397,282,332,2.00E-05,43.5
P36938,Q5SKJ3,40.54,37,22,0,138,174,94,130,2.00E-04,40.8
P36938,Q5SMH2,42.86,35,20,0,128,162,83,117,0.007,35.3
P40191,Q5SKG3,36.92,65,41,0,122,186,100,164,2.00E-06,46
P75905,Q5SJX1,37.74,53,33,0,77,129,3,55,5.00E-08,52.1
P25906,Q5SMB6,36.51,63,40,0,223,285,251,313,4.00E-06,45.1
P60782,Q5SJ11,53.57,84,39,0,32,115,30,113,2.00E-22,99
P60782,Q5SKT8,34.78,69,45,0,32,100,28,96,3.00E-07,48.1
P60782,Q5SK44,61.9,21,8,0,93,113,76,96,3.00E-05,41.5
P05459,Q5SJQ6,47.62,42,22,0,197,238,217,258,4.00E-07,48.7
P05459,Q5SJQ6,35.09,57,37,0,51,107,54,110,0.007,34.8
P05459,Q5SI06,40.48,42,25,0,184,225,188,229,7.00E-05,41.3
P05459,Q5SMG6,42.11,38,22,0,184,221,206,243,0.001,37.1
P05459,Q5SMG6,30.19,53,37,0,57,109,64,116,0.009,34.3
P23842,Q5SK54,61.29,31,12,0,320,350,155,185,8.00E-05,42.1
P0ABF1,Q5SJT3,63.64,22,8,0,61,82,10,31,0.001,37.7
P0ABF1,Q5SK21,30,40,28,0,154,193,546,585,0.008,34.9
P21514,Q5SIL7,31.37,51,35,0,21,71,147,197,0.002,36.7
P77334,Q5SK54,44.59,74,41,0,269,342,195,268,1.00E-13,71.4
P77334,Q5SHH2,38.16,76,47,0,267,342,198,273,4.00E-13,69.6
P77334,Q5SHT9,36.62,71,45,0,267,337,233,303,6.00E-09,55.7
P77334,Q5SJL9,34.29,70,46,0,267,336,627,696,4.00E-06,46.4
P0ACL9,Q5SI00,40,35,21,0,205,239,184,218,0.009,33.7
Q46806,Q5SK67,37.5,40,25,0,283,322,276,315,1.00E-05,44.3
Q46806,Q5SK67,33.96,53,35,0,235,287,229,281,0.002,36.8
P27247,Q5SHI4,44.16,77,43,0,178,254,166,242,5.00E-16,78.2
P27247,Q5SHI4,45.61,57,31,0,79,135,69,125,9.00E-11,60.8
P27247,Q5SHI4,56.25,32,14,0,139,170,128,159,1.00E-05,43.8
